function	function_usr	provenance	current_source	current_header	original_source	original_header	linux	macos	freebsd	native_function	native_function_usr
p101_access	c:@F@p101_access	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	access	c:@F@access
p101_alphasort	c:@F@p101_alphasort	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/dirent.c	libraries/lib_posix/include/p101_posix/p101_dirent.h	yes	yes	yes	alphasort	c:@F@alphasort
p101_basename	c:@F@p101_basename	XSI	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix_xsi/src/libgen.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_libgen.h	yes	yes	yes	basename	c:@F@basename
p101_chdir	c:@F@p101_chdir	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	chdir	c:@F@chdir
p101_chmod	c:@F@p101_chmod	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/sys/stat.c	libraries/lib_posix/include/p101_posix/sys/p101_stat.h	yes	yes	yes	chmod	c:@F@chmod
p101_chown	c:@F@p101_chown	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	chown	c:@F@chown
p101_closedir	c:@F@p101_closedir	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/dirent.c	libraries/lib_posix/include/p101_posix/p101_dirent.h	yes	yes	yes	closedir	c:@F@closedir
p101_dirfd	c:@F@p101_dirfd	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/dirent.c	libraries/lib_posix/include/p101_posix/p101_dirent.h	yes	yes	yes	dirfd	c:@F@dirfd
p101_dirname	c:@F@p101_dirname	XSI	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix_xsi/src/libgen.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_libgen.h	yes	yes	yes	dirname	c:@F@dirname
p101_faccessat	c:@F@p101_faccessat	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	faccessat	c:@F@faccessat
p101_fchdir	c:@F@p101_fchdir	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	fchdir	c:@F@fchdir
p101_fchmod	c:@F@p101_fchmod	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/sys/stat.c	libraries/lib_posix/include/p101_posix/sys/p101_stat.h	yes	yes	yes	fchmod	c:@F@fchmod
p101_fchmodat	c:@F@p101_fchmodat	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/sys/stat.c	libraries/lib_posix/include/p101_posix/sys/p101_stat.h	yes	yes	yes	fchmodat	c:@F@fchmodat
p101_fchown	c:@F@p101_fchown	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	fchown	c:@F@fchown
p101_fchownat	c:@F@p101_fchownat	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	fchownat	c:@F@fchownat
p101_fdopendir	c:@F@p101_fdopendir	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/dirent.c	libraries/lib_posix/include/p101_posix/p101_dirent.h	yes	yes	yes	fdopendir	c:@F@fdopendir
p101_fnmatch	c:@F@p101_fnmatch	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/fnmatch.c	libraries/lib_posix/include/p101_posix/p101_fnmatch.h	yes	yes	yes	fnmatch	c:@F@fnmatch
p101_fpathconf	c:@F@p101_fpathconf	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	fpathconf	c:@F@fpathconf
p101_fstat	c:@F@p101_fstat	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/sys/stat.c	libraries/lib_posix/include/p101_posix/sys/p101_stat.h	yes	yes	yes	fstat	c:@F@fstat
p101_fstatat	c:@F@p101_fstatat	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/sys/stat.c	libraries/lib_posix/include/p101_posix/sys/p101_stat.h	yes	yes	yes	fstatat	c:@F@fstatat
p101_fstatvfs	c:@F@p101_fstatvfs	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/sys/statvfs.c	libraries/lib_posix/include/p101_posix/sys/p101_statvfs.h	yes	yes	yes	fstatvfs	c:@F@fstatvfs
p101_ftruncate	c:@F@p101_ftruncate	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	ftruncate	c:@F@ftruncate
p101_ftw	c:@F@p101_ftw	XSI	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix_xsi/src/ftw.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_ftw.h	yes	yes	yes	ftw	c:@F@ftw
p101_futimens	c:@F@p101_futimens	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/sys/stat.c	libraries/lib_posix/include/p101_posix/sys/p101_stat.h	yes	yes	yes	futimens	c:@F@futimens
p101_getcwd	c:@F@p101_getcwd	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	getcwd	c:@F@getcwd
p101_glob	c:@F@p101_glob	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/glob.c	libraries/lib_posix/include/p101_posix/p101_glob.h	yes	yes	yes	glob	c:@F@glob
